NAME,country,aedes,non_aedes,total,landuse,aedes_mean,land_cov1_mean,land_cov2_mean,land_cov3_mean,tempmean_mean,tempvar_mean,pop_mean
MA24,PE,"0","16","16",urban,10.7609303326442,37.2066023103122,459.045682972875,63.0349005008566,26.4294645210792,9.31036887497737,0.333408340540799
VP01,PE,"0","48","48",agriculture,35.1919895640591,36.8370788641143,262.962425499632,38.6663254353038,28.1875239924381,10.3953720812212,0.0481515563162113
VP02,PE,"0","23","23",agriculture,35.0637748386549,36.531989338087,259.482966680112,39.1699419436247,28.1791395436163,10.3722571663235,0.0471698174083775
VP04,PE,"0","173","173",agriculture,34.8805848154528,36.0720206786846,255.956682928677,39.0598101780332,28.1642338489664,10.3418907214855,0.0441491749483795
VP05,PE,"0","40","40",agriculture,35.0104044686377,36.8173062484876,260.785650067625,42.932588087774,28.175768995707,10.3173651906241,0.0483885649591684
VP06,PE,"0","3","3",agriculture,34.9506994883219,36.1996625097174,257.565055445621,37.6223655332599,28.1685982587045,10.3684229014213,0.0438567464832555
VP07,PE,"0","17","17",agriculture,34.8914162537147,36.1566648483276,258.231939381567,36.367216471968,28.1606559917845,10.3657330069049,0.0400586430955192
VP02,PE,"0","23","23",agriculture,35.3777726929763,37.4117211308973,268.18757682011,39.8114260311784,28.200427532196,10.4075928556508,0.0500122497157593
VP03,PE,"0","11","11",agriculture,35.5295477900012,38.5995117384812,279.203679183434,45.5758318407782,28.2059047468777,10.338498625262,0.0525214535331256
VP09,PE,"0","4","4",agriculture,35.0710853777434,36.5866866697345,261.150578281336,36.668239610237,28.1768251218294,10.397584630732,0.0441768849939779
VP08,PE,"0","19","19",agriculture,35.0090482960577,36.4464652019998,260.243986046833,36.464267631199,28.1709500354269,10.3869915754899,0.043218069108711
VP10,PE,"0","3","3",agriculture,32.9555094367579,31.0597294924552,211.374656275699,40.1209942165174,28.0457249858923,9.83694132587366,0.0141681783354363
VP11,PE,"0","10","10",agriculture,32.6483338290247,30.5376087386033,208.21608747285,39.5263547568486,28.0111771287589,9.81317475746418,0.0148242042116497
VP12,PE,"0","13","13",agriculture,32.3440558723781,30.0300159951915,211.194624262271,38.255571249257,27.9601973492166,9.80041663128397,0.015284580954661
VP13,PE,"0","35","35",agriculture,32.6244421088177,31.0897003007972,220.613008316703,39.798032213294,27.9817597928255,9.85701252481212,0.018442348466007
VP14,PE,"0","186","186",agriculture,34.8642468034175,35.9701832386485,255.162554556863,38.4324211990624,28.1631354951022,10.3476350349292,0.042849815899931
VP15,PE,"0","29","29",agriculture,34.6325285023656,35.4149582139377,252.331755802549,37.148909355032,28.1404315685404,10.312381974582,0.0380810812847423
VP19,PE,"0","19","19",agriculture,35.1467235499415,40.4226904901965,325.351242854677,47.0439921411975,28.2088489696897,9.93438550521588,0.0120437244574229
VP20,PE,"0","2","2",forest edge,34.7437133119817,38.8250369189078,302.262081480863,48.6061820983887,28.1818943023682,9.87831785804347,0.0129077104717359
VP21,PE,"0","9","9",forest edge,34.7177856708395,39.2882559217256,306.696355753932,50.254211195584,28.1733610547822,9.85884049020965,0.0134687207315279
VP22,PE,"0","7","7",agriculture,34.8740380886382,40.540962455547,322.372784234781,51.7999307750601,28.1753493621286,9.8507470493823,0.0133910454531903
